alpha,gamma,graph type,entropy
0.01,0.01,remote,2.101388601952887
0.01,0.01,remote,2.209624122877772
0.01,0.01,remote,2.1873582704255816
0.01,0.01,remote,2.23242828528457
0.01,0.01,remote,1.9844930244680716
0.01,0.01,remote,1.9754811192693655
0.01,0.01,remote,2.2352999593368756
0.01,0.01,remote,2.0869400971685943
0.01,0.01,remote,2.0725916436637037
0.01,0.01,remote,1.9603545718745639
0.01,0.01,remote,1.9459066642767953
0.01,0.01,remote,2.036757817401379
0.01,0.01,remote,2.0767019332298404
0.01,0.01,remote,2.1350803182998783
0.01,0.01,remote,2.2199144031967144
0.01,0.01,remote,2.0500495375189494
0.01,0.01,remote,1.9523815192368186
0.01,0.01,remote,2.0942057000913534
0.01,0.01,remote,2.1909258585201052
0.01,0.01,remote,2.164061659370354
0.01,0.01,remote,2.1422181751771365
0.01,0.01,remote,2.1539047273875154
0.01,0.01,remote,1.9259172927590347
0.01,0.01,remote,2.003399601467449
0.01,0.01,remote,2.125604626112017
0.01,0.01,remote,1.954472629962974
0.01,0.01,remote,1.8353368539963115
0.01,0.01,remote,2.031418631978501
0.01,0.01,remote,2.171011409466931
0.01,0.01,remote,2.0539990123954426
0.01,0.01,remote,2.0608260493047106
0.01,0.01,remote,2.0579459591702496
0.01,0.01,remote,1.9757337248491356
0.01,0.01,remote,2.112533747801141
0.01,0.01,remote,2.1127849220985357
0.01,0.01,remote,2.041088047980137
0.01,0.01,remote,2.1136039508340008
0.01,0.01,remote,2.192666785911614
0.01,0.01,remote,1.8643161716979497
0.01,0.01,remote,1.9661211219323993
0.01,0.01,remote,2.1625741626838915
0.01,0.01,remote,2.083122344479076
0.01,0.01,remote,2.118184714754033
0.01,0.01,remote,2.0480483020286933
0.01,0.01,remote,2.186222357261477
0.01,0.01,remote,2.07797545818373
0.01,0.01,remote,2.1255539924180846
0.01,0.01,remote,1.9507058720894497
0.01,0.01,remote,2.1038412895854393
0.01,0.01,remote,1.944351473887207
0.01,0.01,remote,1.8519712825783214
0.01,0.01,remote,1.9540529822090433
0.01,0.01,remote,2.3078535496354275
0.01,0.01,remote,2.153758872950761
0.01,0.01,remote,1.7745369406688385
0.01,0.01,remote,2.026468109032818
0.01,0.01,remote,2.0997199485931084
0.01,0.01,remote,2.085427272026731
0.01,0.01,remote,1.9408191807473378
0.01,0.01,remote,1.9666055411878234
0.01,0.01,remote,2.0527588963578474
0.01,0.01,remote,1.9676070110367232
