alpha,gamma,entropy
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
0.01,0.1,0.06522637055239544
