alpha,gamma,entropy
0.01,0.1,0.2059332867697634
0.01,0.1,0.22405547173889317
0.01,0.1,0.20080244675543213
0.01,0.1,0.24091224057875138
0.01,0.1,0.2405708199667771
0.01,0.1,0.2350522006733371
0.01,0.1,0.24534142937085335
0.01,0.1,0.284076492332332
0.01,0.1,0.3280158400969668
0.01,0.1,0.2965569651042159
0.01,0.1,0.33961770130464686
0.01,0.1,0.3602570427366487
0.01,0.1,0.3790013747246661
0.01,0.1,0.4187117521823467
0.01,0.1,0.4616549122653595
0.01,0.1,0.46710806144102435
0.01,0.1,0.5293691059650314
0.01,0.1,0.5730241643713185
0.01,0.1,0.5606771354596702
0.01,0.1,0.5379993089389643
0.01,0.1,0.5542231468003678
0.01,0.1,0.5887584044248797
0.01,0.1,0.5535958894327564
0.01,0.1,0.5833826544644722
0.01,0.1,0.64014847335892
0.01,0.1,0.6685640252749181
0.01,0.1,0.6472065587730071
0.01,0.1,0.6149690227153997
0.01,0.1,0.6268870979353949
0.01,0.1,0.5908627821090704
0.01,0.1,0.590825629406595
0.01,0.1,0.5768490422999264
0.01,0.1,0.5947381524603941
0.01,0.1,0.6161639384849877
0.01,0.1,0.6236050531851447
0.01,0.1,0.5921591003006768
0.01,0.1,0.5536998121645524
0.01,0.1,0.6034174230107965
0.01,0.1,0.5619782043415853
0.01,0.1,0.5881854995220408
0.01,0.1,0.6039663609898582
0.01,0.1,0.597764740971968
0.01,0.1,0.6071027998544878
0.01,0.1,0.6242277527222484
0.01,0.1,0.6059227933792499
0.01,0.1,0.6236649559195655
0.01,0.1,0.6079554743030826
0.01,0.1,0.5910245449145748
0.01,0.1,0.5666449245562717
0.01,0.1,0.5326333265015819
0.01,0.1,0.5447062803525569
0.01,0.1,0.5705558409885612
0.01,0.1,0.6081638270005385
0.01,0.1,0.6440769774490605
0.01,0.1,0.7158128483735595
0.01,0.1,0.7236284522717256
0.01,0.1,0.7527432315817748
0.01,0.1,0.790346815144261
0.01,0.1,0.76189048680979
0.01,0.1,0.7733473181395141
0.01,0.1,0.8020545789647997
0.01,0.1,0.8242598895635922
0.01,0.1,0.8200135449905304
0.01,0.1,0.8533610836579442
0.01,0.1,0.7731413379129037
0.01,0.1,0.732725862589831
0.01,0.1,0.7701578876951771
0.01,0.1,0.733903094527875
0.01,0.1,0.7478713707101861
0.01,0.1,0.7582480236892764
0.01,0.25,0.05717923534168534
0.01,0.25,0.07882648217708788
0.01,0.25,0.0803134217542203
0.01,0.25,0.06692563964939957
0.01,0.25,0.12925033296941102
0.01,0.25,0.11937993875538488
0.01,0.25,0.1284869849922643
0.01,0.25,0.07845093551354054
0.01,0.25,0.09207190940807308
0.01,0.25,0.08774998625962738
0.01,0.25,0.08742845879868
0.01,0.25,0.11486149387637212
0.01,0.25,0.10480415518534869
0.01,0.25,0.12443378385924575
0.01,0.25,0.10431590130979629
0.01,0.25,0.13491515850928693
0.01,0.25,0.15493445272281292
0.01,0.25,0.1445524972927501
0.01,0.25,0.11466369205399474
0.01,0.25,0.1499345624379771
0.01,0.25,0.16633237588033012
0.01,0.25,0.1682835254365429
0.01,0.25,0.21116428402508802
0.01,0.25,0.24260906227097223
0.01,0.25,0.2788202747108812
0.01,0.25,0.2575923570434142
0.01,0.25,0.23838301982704024
0.01,0.25,0.29727942490377757
0.01,0.25,0.358418673144584
0.01,0.25,0.4210633126435397
0.01,0.25,0.4212214701983754
0.01,0.25,0.4399745398978041
0.01,0.25,0.42624147854029104
0.01,0.25,0.4667748180924747
0.01,0.25,0.47659058600217463
0.01,0.25,0.483447418455512
0.01,0.25,0.49972672735772505
0.01,0.25,0.5402776138701739
0.01,0.25,0.5857643141075783
0.01,0.25,0.5707450593237127
0.01,0.25,0.613990038148458
0.01,0.25,0.639916188582049
0.01,0.25,0.6621465921651577
0.01,0.25,0.7017267676957601
0.01,0.25,0.7478804727501824
0.01,0.25,0.7578463348440039
0.01,0.25,0.8152621043453081
0.01,0.25,0.8581745564780761
0.01,0.25,0.8542339436346396
0.01,0.25,0.8437236954239467
0.01,0.25,0.8615127114283041
0.01,0.25,0.8953058079979286
0.01,0.25,0.876308309664708
0.01,0.25,0.9121667277385086
0.01,0.25,0.9716511317865013
0.01,0.25,1.005145235649593
0.01,0.25,0.9966794525144564
0.01,0.25,0.9762236792019223
0.01,0.25,0.9951674488580977
0.01,0.25,0.9753006385623166
0.01,0.25,0.9824382490559458
0.01,0.25,0.9779176419530131
0.01,0.25,1.0010048302514747
0.01,0.25,1.02544961534511
0.01,0.25,1.037768574490201
0.01,0.25,1.0210849445935821
0.01,0.25,0.9978739226989148
0.01,0.25,1.04630826761192
0.01,0.25,1.0172620221125612
0.01,0.25,1.0469489321232572
0.01,0.25,1.0689550154299923
0.01,0.25,1.0733599874611741
0.01,0.25,1.0891624649981964
0.01,0.25,1.1126110883058402
0.01,0.25,1.1063785303379063
0.01,0.25,1.129718366653691
0.01,0.25,1.1248096121275637
0.01,0.25,1.1169597425832194
0.01,0.25,1.1025606854440184
0.01,0.25,1.0876940585991122
0.01,0.25,1.1067763520140943
0.01,0.25,1.1360140039537896
0.01,0.25,1.1767355484390407
0.01,0.25,1.2116411781172474
0.01,0.25,1.2834669492102933
0.01,0.25,1.3000935549902692
0.01,0.25,1.3338141364659748
0.01,0.25,1.373938177335873
