block.thisRepN,block.thisTrialN,block.thisN,block.thisIndex,pair_questions.thisRepN,pair_questions.thisTrialN,pair_questions.thisN,pair_questions.thisIndex,welcome_text.started,instructions_0_keypress.started,instructions_0_keypress.keys,instructions_0_keypress.rt,instructions_1_keypress.started,instructions_1_text.started,instructions_1_keypress.keys,instructions_1_keypress.rt,instructions_2_keypress.started,instructions_2_text.started,instructions_2_keypress.keys,instructions_2_keypress.rt,text_countdown.started,seq_reveal.started,seq_reveal_adv.started,seq_reveal_adv.keys,seq_reveal_adv.rt,instruction_2afc_text.started,instruction_2afc_keypress.started,instruction_2afc_keypress.keys,instruction_2afc_keypress.rt,dist_2afc_test.started,dist_2afc_resp.started,text.started,stim_00.started,stim_01.started,stim_10.started,stim_11.started,dist_2afc_resp.keys,dist_2afc_resp.rt,graph.started,debrief_text.started,debriefing_title.started,participant,session,date,expName,psychopyVersion,frameRate,
,,,,34,0,34,0,,,,,,,,,,,,,,,,,,,,,,35.05063050001627,35.05063050001627,35.05063050001627,35.05063050001627,35.05063050001627,35.05063050001627,35.05063050001627,left,0.2743915999890305,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,35,0,35,0,,,,,,,,,,,,,,,,,,,,,,35.36353780000354,35.36353780000354,35.36353780000354,35.36353780000354,35.36353780000354,35.36353780000354,35.36353780000354,right,0.2234838000149466,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,36,0,36,0,,,,,,,,,,,,,,,,,,,,,,35.621549800009234,35.621549800009234,35.621549800009234,35.621549800009234,35.621549800009234,35.621549800009234,35.621549800009234,left,0.2375846999930218,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,37,0,37,0,,,,,,,,,,,,,,,,,,,,,,35.88237740000477,35.88237740000477,35.88237740000477,35.88237740000477,35.88237740000477,35.88237740000477,35.88237740000477,right,0.1992160999798216,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,38,0,38,0,,,,,,,,,,,,,,,,,,,,,,36.115295499999775,36.115295499999775,36.115295499999775,36.115295499999775,36.115295499999775,36.115295499999775,36.115295499999775,left,0.17432280001230538,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,39,0,39,0,,,,,,,,,,,,,,,,,,,,,,36.315461599995615,36.315461599995615,36.315461599995615,36.315461599995615,36.315461599995615,36.315461599995615,36.315461599995615,right,0.19623980001779273,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,40,0,40,0,,,,,,,,,,,,,,,,,,,,,,36.53342680001515,36.53342680001515,36.53342680001515,36.53342680001515,36.53342680001515,36.53342680001515,36.53342680001515,left,0.2711999999883119,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,41,0,41,0,,,,,,,,,,,,,,,,,,,,,,36.832582300005015,36.832582300005015,36.832582300005015,36.832582300005015,36.832582300005015,36.832582300005015,36.832582300005015,right,0.14341479999711737,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,42,0,42,0,,,,,,,,,,,,,,,,,,,,,,36.99959409999428,36.99959409999428,36.99959409999428,36.99959409999428,36.99959409999428,36.99959409999428,36.99959409999428,left,0.23117799998726696,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,43,0,43,0,,,,,,,,,,,,,,,,,,,,,,37.24842710001394,37.24842710001394,37.24842710001394,37.24842710001394,37.24842710001394,37.24842710001394,37.24842710001394,right,0.2251512999937404,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,44,0,44,0,,,,,,,,,,,,,,,,,,,,,,37.50423459999729,37.50423459999729,37.50423459999729,37.50423459999729,37.50423459999729,37.50423459999729,37.50423459999729,left,0.2711015000240877,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,45,0,45,0,,,,,,,,,,,,,,,,,,,,,,37.798567699996056,37.798567699996056,37.798567699996056,37.798567699996056,37.798567699996056,37.798567699996056,37.798567699996056,right,0.21395389997633174,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,46,0,46,0,,,,,,,,,,,,,,,,,,,,,,38.031272699998226,38.031272699998226,38.031272699998226,38.031272699998226,38.031272699998226,38.031272699998226,38.031272699998226,left,0.23929170001065359,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,47,0,47,0,,,,,,,,,,,,,,,,,,,,,,38.300554799992824,38.300554799992824,38.300554799992824,38.300554799992824,38.300554799992824,38.300554799992824,38.300554799992824,right,0.24863940000068396,,,,894716,001,2023-03-06_21h48.48.001,eb_01,2022.2.5,60.0293063068651,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38.58096960000694,38.58096960000694,38.58096960000694,,,,,,,
